ID,day,month
360181,20,3
120261,4,5
120251,21,1
360411,12,7
360951,17,7
360721,29,11
360391,12,7
520061,1,8
120473,21,1
360674,7,12
360941,7,12
360741,7,12
520042,29,3
360141,17,7
